# Mouse, Day, Trialtype, Location (cm)
1,1,1,    45.179
1,2,1,    47.778
1,3,1,    64.885
1,4,1,    72.549
1,5,1,    69.026
1,6,1,    60.745
1,7,1,    78.327
1,8,1,    81.959
1,9,1,    77.296
1,10,1,    90.870
1,11,1,    90.868
1,12,1,    84.522
1,13,1,    79.504
1,14,1,    77.240
1,15,1,    83.303
1,16,1,    86.310
1,17,1,    86.310
1,18,1,    77.768
1,19,1,    67.041
1,20,1,    71.873
1,21,1,    75.593
1,22,1,    83.891
2,1,1,    53.200
2,2,1,    53.770
2,3,1,    62.443
2,4,1,    67.812
2,5,1,    78.621
2,6,1,    70.691
2,7,1,    72.328
2,8,1,    61.859
2,9,1,    71.605
2,10,1,    70.712
2,11,1,    74.418
2,12,1,    79.844
2,13,1,    82.446
2,14,1,    69.506
2,15,1,    75.561
2,16,1,    61.793
2,17,1,    74.529
2,18,1,    74.384
2,19,1,    67.111
2,20,1,    87.931
2,21,1,    92.646
2,22,1,    92.617
3,1,1,    50.460
3,2,1,    49.289
3,3,1,    50.214
3,4,1,    49.567
3,5,1,    56.348
3,6,1,    44.914
3,7,1,    41.502
3,8,1,    53.604
3,9,1,    65.704
3,10,1,    53.321
3,11,1,    55.658
3,12,1,    59.009
3,13,1,    65.458
3,14,1,    72.862
3,15,1,    81.929
3,16,1,    72.969
3,17,1,    65.300
3,18,1,    64.782
3,19,1,    64.253
3,20,1,    68.466
3,21,1,    67.498
3,22,1,    58.437
4,1,1,    38.748
4,2,1,    35.829
4,3,1,    39.227
4,4,1,    49.914
4,5,1,    44.675
4,6,1,    43.950
4,7,1,    44.765
4,8,1,    42.967
4,9,1,    45.014
4,10,1,    46.686
4,11,1,    46.166
4,12,1,    51.534
4,13,1,    50.549
4,14,1,    65.332
4,15,1,    72.956
4,16,1,    71.939
4,17,1,    79.809
4,18,1,    84.942
4,19,1,    82.483
4,20,1,    77.854
4,21,1,    78.624
4,22,1,    81.884
5,1,1,    48.933
5,2,1,    42.390
5,3,1,    51.763
5,4,1,    48.045
5,5,1,    43.846
5,6,1,    46.884
5,7,1,    46.466
5,8,1,    68.298
5,9,1,    56.064
5,10,1,    52.053
5,11,1,    54.802
5,12,1,    58.921
5,13,1,    64.153
5,14,1,    66.743
5,15,1,    69.272
5,16,1,    77.088
5,17,1,    78.315
5,18,1,    79.029
5,19,1,    82.558
5,20,1,    81.821
5,21,1,    86.569
5,22,1,       nan
6,1,1,    40.784
6,2,1,    38.009
6,3,1,    49.942
6,4,1,    55.668
6,5,1,    55.179
6,6,1,    50.483
6,7,1,    56.692
6,8,1,    58.481
6,9,1,    64.566
6,10,1,    84.703
6,11,1,    79.798
6,12,1,    77.626
6,13,1,    82.758
6,14,1,    79.285
6,15,1,    78.219
6,16,1,    54.655
6,17,1,    68.756
6,18,1,    75.890
6,19,1,    73.703
6,20,1,    91.379
6,21,1,    89.529
6,22,1,    81.661
7,1,1,    54.775
7,2,1,    56.470
7,3,1,    44.118
7,4,1,    62.102
7,5,1,    49.702
7,6,1,    53.470
7,7,1,    53.043
7,8,1,    65.435
7,9,1,    73.884
7,10,1,    83.203
7,11,1,    79.623
7,12,1,    72.944
7,13,1,    69.738
7,14,1,    63.713
7,15,1,    59.148
7,16,1,    59.681
7,17,1,    67.136
7,18,1,    65.744
7,19,1,    59.382
7,20,1,    74.594
7,21,1,    70.938
7,22,1,    66.553
8,1,1,    35.446
8,2,1,    47.712
8,3,1,    51.359
8,4,1,    51.938
8,5,1,    52.164
8,6,1,    53.802
8,7,1,    55.655
8,8,1,    43.663
8,9,1,    49.605
8,10,1,    54.435
8,11,1,    58.337
8,12,1,    49.645
8,13,1,    63.883
8,14,1,    53.151
8,15,1,    55.034
8,16,1,    52.172
8,17,1,    45.075
8,18,1,    64.119
8,19,1,    64.903
8,20,1,    61.747
8,21,1,    67.037
8,22,1,    54.504
1,1,2,    37.569
1,2,2,    46.686
1,3,2,    61.429
1,4,2,    78.201
1,5,2,    75.199
1,6,2,    55.701
1,7,2,    65.549
1,8,2,    69.075
1,9,2,    59.824
1,10,2,    63.885
1,11,2,    76.671
1,12,2,    80.765
1,13,2,    70.858
1,14,2,    68.115
1,15,2,    82.884
1,16,2,    82.961
