# Mouse, Reward zone,Beaconed,Probe
1,88,90.19607843,50
1,118,nan,nan
1,163,97.43589744,100
1,230,nan,nan
1,331,nan,nan
1,481,nan,nan
2,88,96.25,77.77777778
2,118,100,100
2,163,96,100
2,230,100,50
2,331,100,66.66666667
2,481,94.11764706,50
3,88,97.19626168,76.92307692
3,118,98.36065574,53.33333333
3,163,93.33333333,44.44444444
3,230,95.23809524,20
3,331,60.86956522,0
3,481,nan,nan
4,88,96.3963964,61.53846154
4,118,90.625,57.14285714
4,163,82.85714286,37.5
4,230,95.76271186,7.142857143
4,331,94.44444444,12.5
4,481,71.73913043,0
5,88,82.10526316,63.63636364
5,118,94.91525424,85.71428571
5,163,100,50
5,230,nan,nan
5,331,nan,nan
5,481,nan,nan
6,88,98.41269841,85.71428571
6,118,99.32432432,55.55555556
6,163,98.98989899,25
6,230,96.875,18.18181818
6,331,98.57142857,0
6,481,100,0
7,88,95.3125,100
7,118,95.45454545,20
7,163,98.11320755,33.33333333
7,230,100,0
7,331,97.82608696,0
7,481,97.22222222,0
