# Mouse, Reward zone,Beaconed, Non-beaconed,Probe
1.0,88.0,90.0,80.0,70.0
1.0,118.0,nan,nan,nan
1.0,163.0,160.0,150.0,150.0
1.0,230.0,nan,nan,nan
1.0,331.0,nan,nan,nan
1.0,481.0,nan,nan,nan
2.0,88.0,90.0,90.0,90.0
2.0,118.0,120.0,110.0,130.0
2.0,163.0,160.0,160.0,150.0
2.0,230.0,230.0,110.0,150.0
2.0,331.0,330.0,280.0,330.0
2.0,481.0,480.0,310.0,320.0
3.0,88.0,90.0,80.0,90.0
3.0,118.0,120.0,120.0,130.0
3.0,163.0,160.0,150.0,150.0
3.0,230.0,230.0,230.0,260.0
3.0,331.0,330.0,280.0,260.0
3.0,481.0,nan,nan,nan
4.0,88.0,90.0,90.0,80.0
4.0,118.0,120.0,150.0,130.0
4.0,163.0,160.0,270.0,160.0
4.0,230.0,230.0,240.0,210.0
4.0,331.0,340.0,400.0,280.0
4.0,481.0,480.0,560.0,560.0
5.0,88.0,90.0,100.0,90.0
5.0,118.0,120.0,120.0,130.0
5.0,163.0,170.0,190.0,200.0
5.0,230.0,nan,nan,nan
5.0,331.0,nan,nan,nan
5.0,481.0,nan,nan,nan
6.0,88.0,90.0,90.0,80.0
6.0,118.0,120.0,130.0,120.0
6.0,163.0,160.0,160.0,160.0
6.0,230.0,230.0,230.0,50.0
6.0,331.0,330.0,320.0,380.0
6.0,481.0,480.0,500.0,470.0
7.0,88.0,90.0,90.0,90.0
7.0,118.0,120.0,110.0,170.0
7.0,163.0,160.0,140.0,140.0
7.0,230.0,230.0,70.0,80.0
7.0,331.0,330.0,400.0,170.0
7.0,481.0,480.0,140.0,80.0
