# Genotype, Mouse, Day, Beaconed, Probe
hTeLC,1,1.0,8.999501773414906,nan
hTeLC,1,2.0,8.045129205892408,nan
hTeLC,1,3.0,15.915394404686582,nan
hTeLC,1,4.0,18.26301635211521,nan
hTeLC,1,5.0,22.293125732941206,nan
hTeLC,1,6.0,13.026957855789213,nan
hTeLC,1,7.0,33.14252224678283,nan
hTeLC,1,8.0,38.546223105075214,nan
hTeLC,1,9.0,36.50797825991343,nan
hTeLC,1,10.0,39.0225825770265,nan
hTeLC,1,11.0,36.405398516850425,nan
hTeLC,1,12.0,30.59122262654089,nan
hTeLC,1,13.0,28.667135681608116,nan
hTeLC,1,14.0,26.0263662718717,nan
hTeLC,1,15.0,29.46549274156558,nan
hTeLC,1,16.0,33.954790772132974,nan
hTeLC,1,17.0,34.565074336198535,nan
hTeLC,1,18.0,27.13573710715718,nan
hTeLC,1,19.0,45.176856473070856,nan
hTeLC,2,1.0,21.200581078189884,nan
hTeLC,2,2.0,19.30563090360092,nan
hTeLC,2,3.0,21.976446049142048,nan
hTeLC,2,4.0,13.629774557213075,nan
hTeLC,2,5.0,11.70523120732192,nan
hTeLC,2,6.0,12.497865499062076,nan
hTeLC,2,7.0,19.24162987486855,nan
hTeLC,2,8.0,16.722277924987317,nan
hTeLC,2,9.0,23.818065334587615,nan
hTeLC,2,10.0,17.35996573442616,nan
hTeLC,2,11.0,23.015051478009934,nan
hTeLC,2,12.0,19.9145334698246,nan
hTeLC,2,13.0,18.001485340684766,nan
hTeLC,2,14.0,14.390125138803313,nan
hTeLC,2,15.0,20.768522566329104,nan
hTeLC,2,16.0,19.23812123024217,nan
hTeLC,2,17.0,29.31044130157121,nan
hTeLC,2,18.0,24.878012617886043,nan
hTeLC,2,19.0,26.81609082352409,nan
hTeLC,3,1.0,10.972993405829081,nan
hTeLC,3,2.0,14.857701136857873,nan
hTeLC,3,3.0,23.78693630567173,nan
hTeLC,3,4.0,19.804799135303227,nan
hTeLC,3,5.0,22.541659226509772,nan
hTeLC,3,6.0,24.811979918901947,nan
hTeLC,3,7.0,27.27742755447576,nan
hTeLC,3,8.0,24.711594355484536,nan
hTeLC,3,9.0,27.664900364816745,nan
hTeLC,3,10.0,30.826428230253775,nan
hTeLC,3,11.0,30.493624611568556,nan
hTeLC,3,12.0,29.520162174268627,nan
hTeLC,3,13.0,32.14978482539214,nan
hTeLC,3,14.0,20.683941841280642,nan
hTeLC,3,15.0,30.121716976225926,nan
hTeLC,3,16.0,nan,nan
hTeLC,3,17.0,31.361105406289543,nan
hTeLC,3,18.0,31.15608920410466,nan
hTeLC,3,19.0,32.560815185908446,nan
hTeLC,4,1.0,16.10382842165236,nan
hTeLC,4,2.0,25.81435778224607,nan
hTeLC,4,3.0,31.811199932262184,nan
hTeLC,4,4.0,29.670835068365506,nan
hTeLC,4,5.0,27.94553923318039,nan
hTeLC,4,6.0,30.102199753281134,nan
hTeLC,4,7.0,29.305071303146,nan
hTeLC,4,8.0,33.32831106397862,nan
hTeLC,4,9.0,37.426943542991005,nan
hTeLC,4,10.0,46.3007091055765,19.05331091602676
hTeLC,4,11.0,34.41489686397567,nan
hTeLC,4,12.0,35.168886895715566,nan
hTeLC,4,13.0,25.15525469383971,nan
hTeLC,4,14.0,23.147964565867255,nan
hTeLC,4,15.0,22.52122820048595,nan
hTeLC,4,16.0,24.215614311684533,nan
hTeLC,4,17.0,22.38084280408102,nan
hTeLC,4,18.0,30.300156155501078,nan
hTeLC,4,19.0,32.674983986231624,nan
lTeLC,5,1.0,7.72340951371387,nan
lTeLC,5,2.0,18.64751752682148,nan
lTeLC,5,3.0,24.36757381372802,nan
lTeLC,5,4.0,27.761113625802516,nan
lTeLC,5,5.0,22.552923538117273,nan
lTeLC,5,6.0,29.150058973470635,nan
lTeLC,5,7.0,29.939411814956124,nan
lTeLC,5,8.0,39.59137740529084,30.25167674219371
lTeLC,5,9.0,20.38104226985871,nan
lTeLC,5,10.0,9.746243909074156,nan
lTeLC,5,11.0,11.160934697840979,nan
lTeLC,5,12.0,23.16686215064295,nan
lTeLC,5,13.0,20.179020878229657,nan
lTeLC,5,14.0,23.61083446668427,nan
lTeLC,5,15.0,13.676154939177273,8.546771829869677
lTeLC,5,16.0,13.04090421614928,8.714123341248825
lTeLC,5,17.0,9.203356160063393,5.422712496199125
lTeLC,5,18.0,11.023472558113976,7.1507336171230556
lTeLC,5,19.0,8.675034899920075,0.9058237571890221
lTeLC,6,1.0,11.91275536171155,nan
lTeLC,6,2.0,20.846561399065642,nan
lTeLC,6,3.0,19.086945785222817,nan
lTeLC,6,4.0,22.182551007556246,nan
lTeLC,6,5.0,13.895914063079607,nan
lTeLC,6,6.0,39.181611035282444,nan
lTeLC,6,7.0,37.58893228718614,30.969761763826178
lTeLC,6,8.0,41.54841415859627,34.40263077413519
lTeLC,6,9.0,42.7583695677195,32.35287974907573
lTeLC,6,10.0,42.56317159193865,27.69185890758112
lTeLC,6,11.0,39.18397537615266,37.42526664918309
lTeLC,6,12.0,34.252415973002,29.34117998132154
lTeLC,6,13.0,31.059031738240442,33.39719204390741
lTeLC,6,14.0,30.869598092351488,22.059675617962228
lTeLC,6,15.0,30.91451696338941,19.670195107592424
lTeLC,6,16.0,27.98600358337172,20.754894951509918
lTeLC,6,17.0,22.033965330326815,9.415318499463757
lTeLC,6,18.0,24.647234911356676,15.060031287793915
lTeLC,6,19.0,31.197693792773848,22.025936742965225
lTeLC,7,1.0,10.890333915938221,nan
lTeLC,7,2.0,14.52259402183059,nan
lTeLC,7,3.0,19.557630130461508,nan
lTeLC,7,4.0,35.67656627925277,nan
lTeLC,7,5.0,32.112814176351456,nan
lTeLC,7,6.0,31.900712501347,nan
lTeLC,7,7.0,31.874843163670935,nan
lTeLC,7,8.0,33.96100858711718,13.655286949279791
lTeLC,7,9.0,29.166431201645718,17.256460614103943
lTeLC,7,10.0,28.06335588811575,19.58689321023627
lTeLC,7,11.0,24.393849234908863,22.715361401109774
lTeLC,7,12.0,27.040676250598132,19.33856075861139
lTeLC,7,13.0,21.922130906707682,27.22715534657025
lTeLC,7,14.0,39.656801810537104,30.694388560702745
lTeLC,7,15.0,26.709075185405528,27.424658068934534
lTeLC,7,16.0,21.79906711266447,9.030771031330389
lTeLC,7,17.0,28.84094852697631,24.37972365314256
lTeLC,7,18.0,40.64478863719976,18.052974299238123
lTeLC,7,19.0,49.39613011150377,35.91812963828407
lTeLC,8,1.0,nan,nan
lTeLC,8,2.0,nan,nan
lTeLC,8,3.0,nan,nan
lTeLC,8,4.0,nan,nan
lTeLC,8,5.0,nan,nan
lTeLC,8,6.0,nan,nan
lTeLC,8,7.0,nan,nan
lTeLC,8,8.0,nan,nan
lTeLC,8,9.0,nan,nan
lTeLC,8,10.0,nan,nan
lTeLC,8,11.0,nan,nan
lTeLC,8,12.0,nan,nan
