# Genotype, Mouse, Day, Beaconed, Probe
hTeLC,1,1.0,7.890884167754183,nan
hTeLC,1,2.0,3.345280317116891,nan
hTeLC,1,3.0,4.137845883909953,nan
hTeLC,1,4.0,2.4404054119882836,nan
hTeLC,1,5.0,8.054331804689493,nan
hTeLC,1,6.0,3.417770979026317,nan
hTeLC,1,7.0,5.7619820948598175,nan
hTeLC,1,8.0,5.585206867297961,nan
hTeLC,1,9.0,6.1122084488909865,nan
hTeLC,1,10.0,3.3268210786678125,nan
hTeLC,1,11.0,5.436310746718302,nan
hTeLC,1,12.0,3.6373765187785043,nan
hTeLC,1,13.0,4.561805028737769,nan
hTeLC,1,14.0,6.5432910360820955,nan
hTeLC,1,15.0,13.194079744473639,nan
hTeLC,1,16.0,5.725779931974394,nan
hTeLC,1,17.0,5.764247575497346,nan
hTeLC,1,18.0,7.375069519289917,nan
hTeLC,1,19.0,-3.2181356704891897,nan
hTeLC,2,1.0,0.11788737196593724,nan
hTeLC,2,2.0,7.149612544375818,nan
hTeLC,2,3.0,2.0281745660881665,nan
hTeLC,2,4.0,6.706578584133107,nan
hTeLC,2,5.0,7.65313285891931,nan
hTeLC,2,6.0,5.185641632554818,nan
hTeLC,2,7.0,8.56927730470433,nan
hTeLC,2,8.0,6.7554536513295,nan
hTeLC,2,9.0,3.112535772224324,nan
hTeLC,2,10.0,7.7149012247712445,nan
hTeLC,2,11.0,3.7595901545852426,nan
hTeLC,2,12.0,5.6611280890238405,nan
hTeLC,2,13.0,6.29286032198976,nan
hTeLC,2,14.0,2.8241879729137267,nan
hTeLC,2,15.0,4.717730499171356,nan
hTeLC,2,16.0,4.131754236483128,nan
hTeLC,2,17.0,8.317476491595006,nan
hTeLC,2,18.0,3.4419367261755274,nan
hTeLC,2,19.0,1.8387273951757679,nan
hTeLC,3,1.0,2.4538806277867242,nan
hTeLC,3,2.0,1.7637081832186907,nan
hTeLC,3,3.0,6.071567815349563,nan
hTeLC,3,4.0,12.028342480191153,nan
hTeLC,3,5.0,4.176585314962532,nan
hTeLC,3,6.0,3.987638439511791,nan
hTeLC,3,7.0,3.2540126040966193,nan
hTeLC,3,8.0,3.87713302369656,nan
hTeLC,3,9.0,5.308898487310975,nan
hTeLC,3,10.0,5.796577083155633,nan
hTeLC,3,11.0,2.3982733934233087,nan
hTeLC,3,12.0,4.859492543909057,nan
hTeLC,3,13.0,2.090632561810462,nan
hTeLC,3,14.0,1.9076557818433162,nan
hTeLC,3,15.0,5.409617918220043,nan
hTeLC,3,16.0,nan,nan
hTeLC,3,17.0,2.976892191128302,nan
hTeLC,3,18.0,-1.592197851233216,nan
hTeLC,3,19.0,-7.2137045661804216,nan
hTeLC,4,1.0,2.559817714465024,nan
hTeLC,4,2.0,0.04492741612937001,nan
hTeLC,4,3.0,1.5082558541652782,nan
hTeLC,4,4.0,-0.7907485788207289,nan
hTeLC,4,5.0,0.1842892656458941,nan
hTeLC,4,6.0,0.12277444932561787,nan
hTeLC,4,7.0,0.6371170998205444,nan
hTeLC,4,8.0,4.217586691028871,nan
hTeLC,4,9.0,10.8937401265118,nan
hTeLC,4,10.0,13.59773342016376,12.30423349899128
hTeLC,4,11.0,4.251474315670967,nan
hTeLC,4,12.0,6.54843335799923,nan
hTeLC,4,13.0,2.3481571617211126,nan
hTeLC,4,14.0,11.970290786445142,nan
hTeLC,4,15.0,-1.546783335182763,nan
hTeLC,4,16.0,6.782364207433573,nan
hTeLC,4,17.0,3.2214196131299375,nan
hTeLC,4,18.0,8.633745965525824,nan
hTeLC,4,19.0,9.863736903670395,nan
lTeLC,5,1.0,0.416425067944594,nan
lTeLC,5,2.0,0.872744016893825,nan
lTeLC,5,3.0,3.4658444322604014,nan
lTeLC,5,4.0,-2.6156333330857513,nan
lTeLC,5,5.0,2.692579403041567,nan
lTeLC,5,6.0,4.668431534325565,nan
lTeLC,5,7.0,7.497623602241873,nan
lTeLC,5,8.0,3.6479866463802857,0.03137519976193692
lTeLC,5,9.0,4.910038936667613,nan
lTeLC,5,10.0,1.8438573692860347,nan
lTeLC,5,11.0,1.2636489864435625,nan
lTeLC,5,12.0,7.101790785662734,nan
lTeLC,5,13.0,8.865308445621904,nan
lTeLC,5,14.0,12.956024138341082,nan
lTeLC,5,15.0,8.640861338423171,13.579750675840152
lTeLC,5,16.0,0.6100290814344704,2.9720631993877076
lTeLC,5,17.0,5.276413829438806,-4.174930970037533
lTeLC,5,18.0,0.2225509310214906,10.659855467804952
lTeLC,5,19.0,3.547882503477727,15.699573303832793
lTeLC,6,1.0,-0.09262053121180236,nan
lTeLC,6,2.0,4.534605403547001,nan
lTeLC,6,3.0,10.604581604874,nan
lTeLC,6,4.0,3.4042345465486274,nan
lTeLC,6,5.0,3.0573564454863593,nan
lTeLC,6,6.0,13.586132357905445,nan
lTeLC,6,7.0,16.230612159843744,12.93227076333578
lTeLC,6,8.0,20.154485134474687,17.920407118160238
lTeLC,6,9.0,17.64169203993403,10.338149995769747
lTeLC,6,10.0,21.05069541360214,26.71483035927035
lTeLC,6,11.0,12.081486996188717,11.069129093199118
lTeLC,6,12.0,13.631216763494537,7.105302832654727
lTeLC,6,13.0,10.851979737096865,-1.3300786439876457
lTeLC,6,14.0,11.954651751718716,5.213955341359306
lTeLC,6,15.0,11.448974781833716,5.667832680560048
lTeLC,6,16.0,10.587367693455215,9.52430509371465
lTeLC,6,17.0,13.665774507454781,14.938500828254538
