Mouse,Virus,Phase,Exploration
1,GFP,Sample,98.6
2,GFP,Sample,73.8
3,TeLC,Sample,90.65
4,TeLC,Sample,104.3
5,GFP,Sample,98.2
6,GFP,Sample,79
7,TeLC,Sample,129.05
8,TeLC,Sample,75.1
9,TeLC,Sample,76.8
10,GFP,Sample,94.8
11,GFP,Sample,103.7
12,TeLC,Sample,44.6
13,TeLC,Sample,99.1
14,GFP,Sample,54.8
15,TeLC,Sample,76.5
16,GFP,Sample,118.85
1,GFP,Test,50.15
2,GFP,Test,32.55
3,TeLC,Test,34.35
4,TeLC,Test,36.85
5,GFP,Test,47.7
6,GFP,Test,52.85
7,TeLC,Test,31.6
8,TeLC,Test,36.45
9,TeLC,Test,36.45
10,GFP,Test,76.65
11,GFP,Test,36.25
12,TeLC,Test,24.95
13,TeLC,Test,41.45
14,GFP,Test,29.75
15,TeLC,Test,33.75
16,GFP,Test,22.6
