Mouse,Virus,Phase,Exploration
1,GFP,Sample,44.1
2,GFP,Sample,31.15
3,TeLC,Sample,53.5
4,TeLC,Sample,77.35
5,GFP,Sample,62.65
6,GFP,Sample,59.45
7,TeLC,Sample,76.4
8,TeLC,Sample,40.75
9,TeLC,Sample,81.6
10,GFP,Sample,63.05
11,GFP,Sample,70.3
12,TeLC,Sample,58.7
13,TeLC,Sample,83.5
14,GFP,Sample,95.5
15,TeLC,Sample,105.9
16,GFP,Sample,62.15
1,GFP,Test,53.4
2,GFP,Test,34
3,TeLC,Test,65.2
4,TeLC,Test,50.9
5,GFP,Test,40.7
6,GFP,Test,26.05
7,TeLC,Test,22.35
8,TeLC,Test,21.3
9,TeLC,Test,37.75
10,GFP,Test,17.15
11,GFP,Test,36.25
12,TeLC,Test,30.9
13,TeLC,Test,39.01
14,GFP,Test,49.65
15,TeLC,Test,44
16,GFP,Test,30.15
